title,title_en,authors,source,path,download_link,article_url
الحِجَاج في رسالة سهل بن هارون إلى أبناء عمومته من آل راهبون,The Argumentation in the Message of Sahl Bin Haroun to his Cousins of AL Rahboon,"[""Ahmad Abdalkareem Al- Molqi""]",ajsrp,./ajsrp/2528-2389.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2528/2389,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2528
آراء المالَقِيّ النّحويّة في كتاب مغني اللّبيب دراسة لُغويّة وصفيّة,AlMalaqi grammatical opinions in Mughni AlLabibs Book A linguistic descriptive study,"[""Ahyaf Abdel Azeze Burini""]",ajsrp,./ajsrp/2529-2390.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2529/2390,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2529
التّماسك والانسجام في قصيدة ثلاث صور للشّاعر محمود درويش,Cohesion and harmony in the poem Three Pictures by poet Mahmoud Darwish,"[""Ahmed Mohammad Albzour""]",ajsrp,./ajsrp/2530-2391.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2530/2391,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2530
الأمثال في كتاب إتحاف ذوي الاستحقاق ببعض مراد المرادي وزوائد أبي إسحاق دراسة نحوية,Proverbs in Ithaf Zawi Al istehqaq bi baad Morad Al Mouradi wa Zawaed Abi Ishaq Grammar study,"[""Sarah Abdullah Alsabih""]",ajsrp,./ajsrp/2531-2392.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2531/2392,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2531
الازدواجيّة اللّغويّة وأثرها على اللّغة العربيّة,Duality Linguistic and Its Impact on Arabic Language,"[""Tamam Hamad Almnaizl""]",ajsrp,./ajsrp/2532-2393.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2532/2393,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2532
ذاكرة تمثيل الحياة الاجتماعية في شرح الزوزني للسبع الطوال,Memory of representation of social life in the explanation of Al zouzni for the sleepless seven,"[""Mohammed Yamani Mebirik""]",ajsrp,./ajsrp/2533-2394.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2533/2394,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2533
مستوى التفكير التأملي لدى معلمات الرياضيات للصفوف الثلاثة الأولى في الأردن,The level of reflective thinking among mathematics teachers of the first three school classes in Jordan,"[""Awad Mufleh Alkhazam""]",ajsrp,./ajsrp/2534-2395.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2534/2395,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2534
أثر مشاركة المعرفة على الخدمات المقدمة من منسوبي الأمن والسلامة بشركة الاتصالات السعودية,The Impact of Knowledge Sharing on the Services Provided by of Security and Safety Employees in Saudi Telecom Company,"[""Yousef saeed alghamdi""]",ajsrp,./ajsrp/2233-2106.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2233/2106,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2233
أدوات البناء الفني في رواية حلم المسافات البعيدة لسليمان القوابعة,Technical construction tools in a novel The Dream of Long Distance by Suleiman Al Qawabba,"[""Osama Mohamed El- Shishiny""]",ajsrp,./ajsrp/2235-2108.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2235/2108,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2235
حجاج الصورة الساخرة في الخطاب السياسي,Satirical argument in political discourse,"[""Cherif rym""]",ajsrp,./ajsrp/2236-2109.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2236/2109,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2236
بوليفونيّة الفضاء المغلق في السرد السعودي المعاصر,The Polyphony of Closed Space in the Contemporary Saudi Narration,"[""Mishal Fadhi al- Moghairi""]",ajsrp,./ajsrp/2237-2110.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2237/2110,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2237
ملامح التواصليّة في النحو العربيّ,Features of communicative in Arabic grammar,"[""Sefaa Ali Al-maqabelah""]",ajsrp,./ajsrp/2238-2111.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2238/2111,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2238
مؤثر لابلاس الجزئي على زمرة هايزنبرغ وخصائصه الطيفية,The Sub Laplacian on The Heisenberg Group and Its Spectral Properties,"[""Soha Ali Salamah""]",ajsrp,./ajsrp/2239-2112.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2239/2112,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2239
اخْتِلَافُ نُسَخِ الْكِتَابِ وَأَثَرُهُ فِي فَهْمِ كَلَامِ سِيْبَوَيْه أَبُو نَصْرٍ الْقُرْطُبِيتهـ أُنْمُوذَجًا,The difference in the versions of the book and its impact on the understanding of the words of Sippoy Abu Nasr Al Qurtubi d 401 AH model 401,"[""Ghareeb Abdulrahman Abdullah Al- Adyani""]",ajsrp,./ajsrp/1992-1901.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1992/1901,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1992
الأعراف الاجتماعية في الشعر الجاهلي عنترة بن شداد أنموذجاً,Social norms in pre Islamic poetry Antara bin Shaddad as a model,"[""Huda Qism Allah Mustafa""]",ajsrp,./ajsrp/1993-1902.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1993/1902,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1993
التشكلات الدلالية للخطاب السردي في رواية زقاق المدق لنجيب محفوظ,The Semantic Structure of narrative discourse in the novel The Alley of Mudaq by Naguib Mahfouz,"[""Laila Othman Abdalla""]",ajsrp,./ajsrp/1994-1903.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1994/1903,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1994
استراتيجية صراع التأويلات في قصيدة حلم ليلة فارغة للشاعر أحمد عبد المعطي حجاز,The strategy of conflict of interpretations in the poem dream of an empty night by the poet Ahmed Abdel Moaty Hijaz,"[""Mahmoud Khalif Khudair Obaid Hayani""]",ajsrp,./ajsrp/1995-1904.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1995/1904,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1995
الانزياح الوظيفي في مواقع التواصل الاجتماعي حروف الجر والعطف أنموذجا,The functional shift in social media prepositions and conjunction as a sample,"[""NUJUD ISMAIL ALANAZI, MOHD AZIDAN ABDUL JABAR, ABDURRAUF HASSAN, ABULHALIM BIN MOHAMAD""]",ajsrp,./ajsrp/1996-1905.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1996/1905,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1996
الإحالة في مقالات مختارة من كتاب وفق التوقيت العربي للدكتور إبراهيم التركي,Reference in selected articles of Dr Ibrahim Al Turkis book Wafq al tawqt al Arab,"[""Norah Abdullah Al-Sohebani,  Amal Othman Al- Atta""]",ajsrp,./ajsrp/1997-1906.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1997/1906,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1997
تعظيم شعائر الحج تحليل معرفي تواصلي,Maximizing Rituals of Pilgrimage A Communicative Cognitive Analysis,"[""Mohammed Babiker Alawad""]",ajsrp,./ajsrp/2011-1919.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/2011/1919,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/2011
مُصْطَلَحَاتُ الصَّرْفِ العَمَلِي فِي كُتُبِ الصَّرْفِ دِرَاسَةٌ فِي تَدَاخُلِ مَفَاهِيمِها، وَتَنَاوُبِ الصِّيَغِ,Morphological Terms in the Textbooks of Morphology A study of their concepts Overlapping and Forms substitution,"[""Abu Haneefa Omer AlShareef Ali Omer, Entesar Mahdadi Abdallah ElSiddig""]",ajsrp,./ajsrp/1761-1685.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1761/1685,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1761
الزّمان في قواعد علم المعاني,Tense in the Principles of Semantics,"[""Deeaa Hussin Mouheb Aldeen""]",ajsrp,./ajsrp/1762-1686.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1762/1686,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1762
الخصائص اللغوية للهجة بني سفيان دراسة وصفية تحليلية,The linguistics characterstics of Bni Sofyans dialect An analytic descriptive study,"[""Afrah Mohsen Al-salmi""]",ajsrp,./ajsrp/1763-1687.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1763/1687,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1763
مفهوم الجملة بين نحوي الجملة والنص,The concept of sentence between sentence grammar and text grammar,"[""Hasan Mohammed Mfreg""]",ajsrp,./ajsrp/1764-1688.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1764/1688,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1764
الثّنائيّات الضّدّيّة الماهيّة والمصطلح,The contradictory duals The meaning and the term,"[""Khaled Abd alazaiz Hassan""]",ajsrp,./ajsrp/1765-1689.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1765/1689,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1765
آليات توليد المصطلح العربي دراسة في المعجم الموحد لمصطلحات اللّسانيات,Mechanisms of Generating the Arabic Term,"[""Najat Amhamad Hussein""]",ajsrp,./ajsrp/1766-1690.pdf,https://journals.ajsrp.com/index.php/ajsrp/en/article/download/1766/1690,https://journals.ajsrp.com/index.php/ajsrp/en/article/view/1766
